country,policy_description,Summary
Uruguay,"In 2006 the decree auctioned 20 MW for wind power, 20 MW for biomass and 20 MW for mini-hydro. The individual generators were not allowed to exceed a power of 10MW. The decree states that the National Electricity Utility (UTE) will auction special contracts for purchase contracts that provide energy from wind, biomass or small-hydro. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","In 2006, a decree was issued to auction a total of 60 MW of renewable energy capacity, divided into 20 MW each for wind power, biomass, and mini-hydro. Individual generators were limited to a maximum capacity of 10 MW. The National Electricity Utility (UTE) was tasked with auctioning special purchase contracts for energy generated from these sources."
Philippines,"The GB Code seeks to improve the efficiency of building performance through a framework of acceptable set of standards that will enhance sound environmental and resource management that will counter the harmful gases responsible for the adverse effects of climate change, throughout the buildings life-cycle including efficient use of resources, site selection, planning, design, construction, use, occupancy, operation and maintenance, without significant increase in cost. This GB Code is a set of regulations setting minimum standards for compliance and not intended to rate buildings.","The GB Code aims to enhance building performance efficiency by establishing a framework of standards focused on environmental and resource management. It addresses harmful gases linked to climate change across the entire building life-cycle, including resource use, site selection, planning, design, construction, operation, and maintenance, all while avoiding significant cost increases. The code serves as a set of minimum compliance regulations rather than a rating system for buildings."
Colombia,"In 2008, The National Council for Economic and Social Policy (CONPES) led by the National Planning Department (DNP), made a guideline document for the National Biofuel Policy. This document assesses the development of the biofuels market in Colombia as a result of the incentives and policies for biofuels promulgated in the 2000s; defines the principal objectives sought by the policy in the short and long term; and defines guidelines and recommendations for the policymakers in order to achieve and follow the defined objectives. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","In 2008, the National Council for Economic and Social Policy (CONPES), with the National Planning Department (DNP), created a guideline document for Colombia's National Biofuel Policy. This document evaluates the growth of the biofuels market due to incentives and policies from the 2000s, outlines the main short- and long-term objectives of the policy, and provides guidelines and recommendations for policymakers to achieve these objectives."
Argentina,Installing 300MW wind energy capacity over a period of 3 years.,The policy involves the installation of 300 megawatts (MW) of wind energy capacity to be completed within a three-year timeframe.
Togo,"This law sets the general legal framework for environmental management in Togo. (For details, see reference below.)",This law establishes the overall legal framework for environmental management in Togo.
Argentina,"This line of credit will have a limit of 20 million pesos per applicant with a payment term of up to 5 years. It is intended mainly for SMEs, large companies and public sector actors in our country.","The policy provides a line of credit with a limit of 20 million pesos per applicant, featuring a payment term of up to 5 years. It is primarily aimed at small and medium-sized enterprises (SMEs), large companies, and public sector entities in the country."
Ghana,"Executive
The National Climate Change Policy (NCCP) outlines the vision and objectives with respect to effective adaptation, social development and mitigation. Its aim is to ensure a climate-resilient and climate-compatible economy while achieving sustainable development and equitable low-carbon economic growth for Ghana.","The National Climate Change Policy (NCCP) aims to create a climate-resilient and climate-compatible economy in Ghana, focusing on effective adaptation, social development, and mitigation. Its overarching goal is to promote sustainable development and equitable low-carbon economic growth."
Philippines,This policy aims to promote the energy-conserving design of buildings and their services and boost the demand for energy-efficient materials and technologies.,This policy focuses on encouraging energy-efficient building designs and services while increasing the demand for energy-saving materials and technologies.
India,"The project development objectives are to scale up energy savings in residential and public sectors, strengthen Energy Efficiency Services Limited (EESL)s institutional capacity, and enhance its access to commercial financing. The programme is funded with USD 220 million Program for Results (PforR) loan and a USD 80 million loan/bond guarantee to support EESL in raising commercial financing for scaling up its energy efficiency programmes. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The project aims to increase energy savings in residential and public sectors, improve the institutional capacity of Energy Efficiency Services Limited (EESL), and boost its access to commercial financing. It is supported by a USD 220 million Program for Results (PforR) loan and an additional USD 80 million loan/bond guarantee, facilitating EESL's efforts to expand its energy efficiency programs."
Philippines,"The objectives of this law are:
(a) Institutionalize energy efficiency and conservation as a national way of life geared towards the efficient and judicious utilization of energy by formulating, developing, and implementing energy efficiency and conservation plans and programs to secure sufficiency and stability of energy supply in the country to cushion the impact of high prices of imported fuels to local markets and protect the environment in support of the economic and social development goals of the country;
(b) Promote and encourage the development and utilization of efficient renewable energy technologies and systems to ensure optimal use and sustainability of the country's energy resources;
(c) Reinforce related laws and other statutory provisions for a comprehensive approach to energy efficiency, conservation, sufficiency, and sustainability in the country; and
(d) Ensure a market-driven approach to energy efficiency, conservation, sufficiency, and sustainability in the country.","The law aims to achieve the following objectives: 

1. Establish energy efficiency and conservation as a national priority by creating and implementing plans to ensure stable energy supply, mitigate the impact of high fuel prices, and support environmental protection and socio-economic development.
2. Promote the development and use of efficient renewable energy technologies to optimize and sustain the country's energy resources.
3. Strengthen existing laws and regulations for a comprehensive strategy on energy efficiency, conservation, and sustainability.
4. Ensure that energy efficiency and conservation efforts"
Germany,"The new programme will support companies in developing CCU/CCS technologies ""towards market maturity"", the ministry said.
Supported technologies will include the necessary infrastructure for storing CO2 in the North Sea, direct air technology in combination with CCS (DACCS), and the use of bioenergy with CCS (BECCS).
The budget has been set at 105mn for 2021, then an initial 120mn/yr until 2025.","The new program aims to assist companies in advancing Carbon Capture Utilization (CCU) and Carbon Capture and Storage (CCS) technologies to a commercially viable stage. Key supported technologies include CO2 storage infrastructure in the North Sea, Direct Air Capture combined with CCS (DACCS), and Bioenergy with CCS (BECCS). The budget is set at €105 million for 2021, followed by an initial allocation of €120 million per year until 2025."
Australia,The Net Zero in Government Operations Strategy describes the approach for implementing the Australian Governments commitment to achieve net zero in government operations by 2030. This target was included in Australias NDC Communication 2022 under the Paris Agreement.,The Net Zero in Government Operations Strategy outlines how the Australian Government plans to reach net zero emissions in its operations by 2030. This commitment is part of Australia's Nationally Determined Contributions (NDC) submitted in 2022 under the Paris Agreement.
Saudi Arabia,"The National Renewable Energy Program is the policy through which the Ministry of Energy implements the Vision 2030 renewable energy targets of 27.3 GW of renewable power capacity by 2023 and 58.7 GW by 2030. US$3050 billion for renewable energy tendering scheme (bids of US$ 2-3/kWh in first round).
New Developments: Round 3 of the program was launched in January 2020, tendering 1.2 GW of solar PV. A total of close to 2.2 GW of solar PV have been tendered so far in rounds 1 and 2.","The National Renewable Energy Program, implemented by the Ministry of Energy, aims to achieve the ""Vision 2030"" renewable energy targets of 27.3 GW of capacity by 2023 and 58.7 GW by 2030. The program has a funding range of US$30–50 billion for its renewable energy tendering scheme, with initial bids ranging from US$2-3/kWh. As of January 2020, Round 3 was launched, tendering 1"
Nicaragua,"With the ratification of the Kigali Amendment, group II parties commit to peak HFCs consumption by 2024 and to gradually phase down in line with the following schedule:
(i) 2024 to 2028: 100 per cent
(ii) 2029 to 2034: 90 per cent
(iii) 2035 to 2039: 70 per cent
(iv) 2040 to 2044: 50 per cent
(v) 2045 and thereafter: 20 per cent","The Kigali Amendment requires group II parties to peak their consumption of hydrofluorocarbons (HFCs) by 2024 and gradually reduce it according to the following schedule: 

- 2024 to 2028: 100% of baseline consumption
- 2029 to 2034: 90% of baseline consumption
- 2035 to 2039: 70% of baseline consumption
- 2040 to 2044: 50% of baseline"
Colombia,"Executive
The National Energy Plan aims to install other sources of energy to achieve a diversification of the basket and ensure a reliable energy supply. The inclusion of wind power plants, photovoltaic solar generation, geothermal energy and generation from the biomass in the country's electric mix is ??sought.
The UPME (Unit of Energy Mining Planning - Unidad de Planeación Minero Energética) identified the possible medium and long-term expansion alternatives that would allow the basket to diversify and have evaluated its impact on the system in the Expansion Reference-Generation and Transmission Plan 2014-2028. Several scenarios were presented. One of the scenarios considers the participation of more than 10% in non-conventional renewable energy in installed capacity by 2028, with a generation that ranges from 2.5% to 7.5% of total production in the period of analysis.
In the most feasible scenario, unconventional sources of energy may account for 6% of the electric energy basket, which would correspond to an installed capacity of 1,207 MW in 2028. In addition to the 474 MW of wind power in the pessimistic scenario, it is considered possible to install 143 MW of solar energy, 275 geothermal and 314 MW of biomass cogeneration. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The National Energy Plan seeks to diversify the energy supply in the country by incorporating various renewable energy sources, including wind power, solar, geothermal, and biomass. The UPME has outlined potential expansion strategies for the energy mix through the Expansion Reference-Generation and Transmission Plan for 2014-2028. One scenario projects that by 2028, non-conventional renewable energy could represent over 10% of installed capacity, contributing between 2.5% to 7.5% of total"
China,Carbon intensity reduction of -40% to -45% by 2020 compared to 2005.,"The policy aims to reduce carbon intensity by 40% to 45% by the year 2020, using 2005 levels as the baseline for comparison."
Samoa,"Samoa is committed to reducing its GHG emissions from the Electricity sub sector through the adoption of a 100% Renewable energy target for electricity generation through to the year 2025. Samoas commitment is conditional on reaching the 100% renewable electricity generation target in 2017 and receiving international assistance to maintain this contribution through to 2025. Economy?wide emissions reduction conditional on external international assistance. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Samoa aims to achieve a 100% renewable energy target for electricity generation by 2025, contingent upon reaching this goal by 2017 and securing international assistance to sustain it. The country also seeks to reduce economy-wide greenhouse gas emissions, which is dependent on external support."
India,"On May 3, 2016, with the promulgation of Law No. 13.280, a new cycle began. The law provides for the definition of annual plans for the application of these resources, plans that are drawn up and approved, after a public consultation process, by government representatives and agents of the national energy sector, which gives transparency and credibility to the investments made.","On May 3, 2016, Law No. 13.280 was enacted, initiating a new phase in resource allocation. This law mandates the creation of annual plans for resource application, which are developed and approved through a public consultation process involving government representatives and national energy sector agents. This approach aims to enhance transparency and credibility in investment decisions."
India,"""The National Environment Policy, 2006 is the outcome of extensive consultations with experts in different disciplines, Central Ministries, Members of Parliament, State Governments, Industry Associations, Academic and Research Institutions, Civil Society, NGOs and the Public. The National Environment Policy seeks to extend the coverage, and fill in gaps that still exist, in light of present knowledge and accumulated experience. It does not displace, but builds on the earlier policies""","The National Environment Policy, 2006 was developed through extensive consultations with a wide range of stakeholders, including experts, government bodies, industry associations, and civil society. Its aim is to enhance and address existing gaps in environmental coverage based on current knowledge and experience, while building upon previous policies rather than replacing them."
Australia,"Statement developed jointly between the Ministry for Industry, Science, and Resources and the Australian Institute of Petroleum and putting forward a vision for the future of the petroleum industry.","The policy statement is a collaborative effort between the Ministry for Industry, Science, and Resources and the Australian Institute of Petroleum. It outlines a vision for the future of the petroleum industry in Australia."
Mexico,"Train 50 specialists per state, overall 1600 trained consultants per region to expand Energy efficiency projects.","The policy aims to train 50 specialists in each state, totaling 1,600 trained consultants across the region, to enhance energy efficiency projects."
Brazil,"Prominent on the demand side is Federal Law No. 11,907 passed January 13, 2005. The law defines biodiesel as a new fuel in Brazils energy mix, and as of January 2008, requires a 2% biodiesel component blended to 98% diesel oil, known as B2. By January of 2013, the mix requirement will increase to 5% (B5),with possibilities for higher blend percentages all the way up to pure biodiesel (B100) by authorization of the Brazilian Petroleum, Gas and Biofuels Regulator (ANP), which is given regulatory and fiscal control, by that same law, over production and sale of biofuels. The National Council of Energy Policy (Conselho Nacional de Politica Energética, CNPE) subsequently introduced a number of resolutions to realize the requirements of Law 11.097. Resolution #2 of March, 2008 set a 3% requirement as of July 2008; Resolution #2 of April, 2009 set a 4% requirement as of July 2009 and Resolution #6 of September, 2009 set a 5% requirement as of January 2010. In May 2014, the Minister of Mines and Energy announced that the biodiesel requirement will increase to 6% on July 1, 2014 and 7% on November 1, 2014.
Target
- 7% biodiesel share in diesel by 2015
- 10% biodiesel share in diesel by 2019","Federal Law No. 11,907, enacted on January 13, 2005, established biodiesel as a key component of Brazil's energy mix. It mandated a blending of 2% biodiesel (B2) with 98% diesel oil starting in January 2008, increasing to 5% (B5) by January 2013, with the potential for higher blends up to pure biodiesel (B100) upon approval from the Brazilian Petroleum, Gas and Biofu"
New Zealand,"Legislative, 2002: Climate Change Response Act
- implemented an ETS which covers all sectors and all gases, covers about 50% of emissions not sure if there was really nothing in 2007 , ETS covers about only 50% of all emissions (ETS tracker). Unsure whether that is sufficient.","The Climate Change Response Act, enacted in 2002, established an Emissions Trading System (ETS) that encompasses all sectors and greenhouse gases, managing approximately 50% of total emissions. There is uncertainty regarding the effectiveness of this system, particularly in light of its performance in 2007 and whether its coverage of 50% of emissions is adequate."
Spain,"The General State Administration, through the Directorate-General of European Funds of the Ministry of the Tax Administration and Civil Service, has drafted the Sustainable Growth OP 2014-2020 (POCS), which has been approved by the implementing commission decision C(2015) 5220 of July 22, 2015. The POCS has allotted approximately 2100M of FEDER assistance, 38.2% of the Program, to the axis Low Carbon Economy. This sum is intended to be managed by the Institute for Diversification and Energy Saving (IDAE) as an intermediary organism for the actions in this axis. Moreover, the POCS establishes that part of the provision for this axis shall be allotted to projects that allow for the transition to a low-carbon economy in the field of the General State Administration, and the IDAE shall be charged with selecting the projects and assigning the appropriate assistance in this field. In line with the above, a call for aids geared towards the execution of energy-related renovations in buildings and infrastructure of the General Administration was approved. The available budget amounts to 95,181,546.36 . IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The General State Administration, through the Directorate-General of European Funds, has created the Sustainable Growth Operational Program (POCS) for 2014-2020, approved on July 22, 2015. The program allocates approximately €2.1 billion of FEDER assistance, with 38.2% directed towards promoting a Low Carbon Economy. The Institute for Diversification and Energy Saving (IDAE) will manage this funding as an intermediary and is responsible for selecting projects that facilitate the transition"
Russian Federation,"The Concept aims to: (i) kick-off production and incentivize greater use of EVs; (ii) develop production of their components and charging infrastructures; (iii) make the most out of Russias precious metals and other raw materials potential, such as lithium, nickel, copper, cobalt and aluminum, given its demand in the EV industry; (iv) launch brand new EV-related products such as post-lithium batteries based on sodium and hydrogen fuel cells, including those for heavy vehicles; (v) develop cross-cutting technologies in the areas of batteries recycling, new materials, cybersecurity, navigation, smart driving and various IT solutions.
Some of its specific targets are:
1. The first stage will run from 2021 to 2024 and should result in the launch of at least 25,000 locally manufactured EVs and 9,400 e-charging stations, of which no less than 2,900 should be fast-charging.
2. The second stage will run from 2025 to 2030 and should result in: EVs share reaching at least 10% of the total vehicles production; launch of cells production for traction batteries, launch of the production of cathode and anode materials; launch of at least 72,000 e-charging stations, including 28,000 fast-charging stations; launch of at least 1,000 hydrogen charging stations; at least 39,000 high-skilled jobs in electrochemistry, electromechanics, electronics and EVs production.","The Concept aims to boost electric vehicle (EV) production and usage, enhance the production of EV components and charging infrastructure, and leverage Russia's raw materials like lithium, nickel, and cobalt for the EV industry. It plans to introduce new EV technologies, including post-lithium batteries and hydrogen fuel cells, while advancing cross-cutting technologies in battery recycling, materials, cybersecurity, navigation, smart driving, and IT solutions.

The initiative is structured into two stages:
1. **Stage One (2021"
Egypt,"Production, storage, and export of green hydrogen and green ammonia among the areas falling within the states economic development strategy.","The policy focuses on the production, storage, and export of green hydrogen and green ammonia as key components of the state's economic development strategy."
Indonesia,"This policy sets out an electricity generation capacity addition target of 41GW for the period 2021-2030, of which 48% will come from renewable sources, while 52% will be provided by fossil fuels","The policy establishes a target to increase electricity generation capacity by 41GW from 2021 to 2030. Of this total, 48% is expected to be sourced from renewable energy, while 52% will come from fossil fuels."
United Kingdom,"The Home Energy Scotland Advice Network consists of of local advice centres covering all of Scotland. Expert advisors offer free advice on energy saving, keeping warm at home, renewable energy, greener travel, cutting water waste and more. Funded by the Scottish Government and managed by the Energy Saving Trust, its mission is to help people in Scotland create warmer homes, reduce their bills and help tackle climate change. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The Home Energy Scotland Advice Network is a program that provides free expert advice through local centers across Scotland. Funded by the Scottish Government and managed by the Energy Saving Trust, the initiative aims to help residents save energy, maintain warmth at home, utilize renewable energy, promote sustainable travel, and reduce water waste. Its overarching goal is to assist Scots in creating warmer homes, lowering their energy bills, and addressing climate change."
Australia,"The Australian Governments $4.5 billion Clean Energy Initiative furthers innovation in clean energy generation and supports the research, development and demonstration of low-emissions technologies, including industrial-scale carbon capture and storage, solar energy, and non-solar renewable technologies.","The Australian Government's $4.5 billion Clean Energy Initiative aims to promote innovation in clean energy generation by funding research, development, and demonstration of low-emissions technologies. This includes support for industrial-scale carbon capture and storage, solar energy, and other renewable technologies."
Canada,Reduce by 30% below 2005 levels by 2030.,The policy aims to achieve a 30% reduction in emissions or relevant metrics compared to 2005 levels by the year 2030.
Spain,"The Renewable Energy Promotion Plan was approved in 1999 and aims to supply at least 12% of Spains total energy demand with energy generated from renewable sources by 2010. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The Renewable Energy Promotion Plan, approved in 1999, aims to meet at least 12% of Spain's total energy demand with renewable energy sources by the year 2010."
Japan,"3.8% reduction of total GHG emissions in 2020 compared to 2005 levels.
""Just before COP19, at the meeting of the Global Warming Prevention Headquarters in November 2013, Japans GHG emissions reduction and absorption target to 2020 was announced as being that Japan will reduce its emissions by 3.8% compared to the 2005 level based on the order from the Prime Minister.""
""On November 29, the Government of Japan submitted the target, replacing the 25% reduction target, which had been submitted to the UNFCCC, in accordance with the Copenhagen Accord. This target is a target at this point, which has not yet taken into account the emission reduction effect resulting from nuclear power, given that the energy policy and energy mix, including the utilization of nuclear power, are still under consideration.""
Source: http://unfccc.int/files/national_reports/annex_i_natcom/submitted_natcom/application/pdf/nc6_jpn_resubmission.pdf","Japan has set a target to reduce its total greenhouse gas (GHG) emissions by 3.8% by 2020, relative to 2005 levels. This target was announced by the Prime Minister during a meeting of the Global Warming Prevention Headquarters in November 2013, just before COP19. It replaces a previous commitment to a 25% reduction under the Copenhagen Accord. The current target does not account for potential emission reductions from nuclear power, as Japan is still evaluating its energy"
Sao Tome and Principe,Target of 109 ktCO2e GHG reduction by 2030. The target represents a significant increase compared to the 2015 target (57 ktCO2e).,"The policy aims for a greenhouse gas (GHG) reduction target of 109 kilotons of CO2 equivalent (ktCO2e) by 2030, which marks a substantial increase from the previous target of 57 ktCO2e set in 2015."
Timor-Leste,"Emphasises the role of forests, and afforestation, in tackling climate change.",The policy highlights the importance of forests and afforestation as key strategies for addressing climate change.
Republic of Korea,"The buyer of an electric car can receive subsidies from the state, as well as a tax reduction and 4 million won for the installation of a fast charger. The buyer can also benefit from a 8 million won of local subsidies. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Buyers of electric cars are eligible for various financial incentives, including state subsidies, tax reductions, 4 million won for fast charger installation, and an additional 8 million won in local subsidies."
Germany,"The Act heralds the launch of the smart grid, smart meter and smart home in Germany. It enables the development of a digital infrastructure that is capable of connecting more than 1.5 million electricity producers and large-scale consumers. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The Act initiates the implementation of smart grid, smart meter, and smart home technologies in Germany. It facilitates the creation of a digital infrastructure designed to connect over 1.5 million electricity producers and large consumers."
Lithuania,"With the ratification of the Kigali Amendment, group I parties commit to peak HFCs consumption by 2019 and reduce it to 15% of 2012 levels by 2036",The Kigali Amendment requires group I parties to limit their consumption of hydrofluorocarbons (HFCs) by peaking in 2019 and subsequently reducing it to 15% of 2012 levels by 2036.
Paraguay,"10 percent (unconditional), 20 percent (conditional) by 2030 compared to BAU","The policy aims for a 10 percent reduction in emissions unconditionally, and a 20 percent reduction conditionally, by the year 2030 compared to the business-as-usual (BAU) scenario."
Turkey,The measure fixes the framework conditions for the transmission to the grid.,The policy establishes the guidelines and regulations necessary for the efficient transmission of electricity to the grid.
Mexico,"Resolution RES/140/2001 gives priority to renewables in grid interconnection and imposes discounts of 50% to 70% in transmission costs. Net metering is also possible.
Ammended in 2016 to also consider renewable and cogeneration projects.",Resolution RES/140/2001 prioritizes renewable energy sources for grid interconnection and offers significant discounts of 50% to 70% on transmission costs. It also allows for net metering. The resolution was amended in 2016 to include considerations for renewable and cogeneration projects.
Canada,"""The program offers an incentive of 1¢ per kilowatt-hour of electricity produced over a period of ten years from a qualifying low-impact renewable energy project built before March 31, 2011."" (Annex to Canada's 2nd Biennial Report, 2016)","The program provides a 10-year incentive of 1 cent per kilowatt-hour for electricity generated by qualifying low-impact renewable energy projects that were established before March 31, 2011."
Sweden,"With an allocation of SEK 200 million per year from 2021 to 2023, the Swedish government has proposed a tax reduction on the installation of green technologies in the 2021 budget bill.","The Swedish government has proposed a tax reduction for the installation of green technologies as part of the 2021 budget bill, allocating SEK 200 million annually from 2021 to 2023."
Burundi,Updated NDC maintains unconditional reduction target of 3% GHG emission reduction against BAU scenario by 2030 and reduces its conditional reduction target to 12.6% against BAU (from previous 20%).,"The updated Nationally Determined Contribution (NDC) establishes an unconditional target of a 3% reduction in greenhouse gas (GHG) emissions compared to a Business As Usual (BAU) scenario by the year 2030. Additionally, the conditional reduction target has been revised down to 12.6% against BAU, reduced from a previous target of 20%."
China,"In 2009, the Chinese National Development and Reform Document (NDRD) introduced a feed-in tariff to support the deployment of electricity from onshore wind, applying over a 20 year period.
Ammendement in 2017
Starting from 1 Jan 2017, the feed-in tariff levels for onshore wind are reduced to RMB 0.4, 0.45,0.49 and 0.57 per kwh for zones (/categories) 1-4.
Starting from 1 Jan 2017, the Feed-in tariff for offshore wind and intertidal zone is RMB 0.85 and RMB 0.75 per kwh respectively.","In 2009, China implemented a feed-in tariff through the National Development and Reform Document (NDRD) to promote onshore wind energy, valid for 20 years. An amendment in 2017 reduced feed-in tariff rates for onshore wind to RMB 0.4, 0.45, 0.49, and 0.57 per kWh across four designated zones. Additionally, starting January 1, 2017, the feed-in tariff for offshore wind was"
France,"Law No. 2019-1147: This policy enshrines the objective to reach carbon neutrality by 2050 and sets a number of quantified objectives for the energy sector. It establishes the High Council for the Climate as a permanent body, enacts the closure of the last French coal power plants, aims at boosting renewable energies and improving energy efficiency in buildings, while it discusses regulations regarding air and maritime transport.","Law No. 2019-1147 aims for carbon neutrality by 2050, setting specific targets for the energy sector. It establishes the High Council for the Climate as a permanent institution, mandates the closure of France's last coal power plants, and promotes renewable energy and energy efficiency in buildings. Additionally, it addresses regulations related to air and maritime transport."
Spain,"For some years the government has maintained its PREVER Programme (formerly RENOVE) through the Ministry of Science and Technology. The programmes aim is to encourage the replacement of old cars to achieve environmental improvements and better road safety. In accordance with Royal Decree Law 6/1997 of 9 April 1997, the programme applies to automobiles over ten years of age and light industrial vehicles over seven years. It reduces the car registration tax by up to EUR 721 when scrapping of the old vehicle (priority is given to leaded gasoline vehicles) is guaranteed. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The PREVER Programme, previously known as RENOVE, is a government initiative managed by the Ministry of Science and Technology aimed at promoting the replacement of old vehicles to enhance environmental quality and road safety. Established under Royal Decree Law 6/1997, the program targets cars over ten years old and light industrial vehicles over seven years. It offers a reduction in car registration tax of up to EUR 721 for those who scrap their old vehicles, with a priority for leaded gasoline cars."
Germany,"Under the EU Directive 2009/28/EC member countries of the European Union are obliged to draft and submit to the European Commission National Renewable Action Plans (NREAPs) outlining pathway which will allow them to meet their 2020 renewable energy, energy efficiency and GHG cuts targets.
Germany renewable energy 2020 targets:
Overall target: 18% of share of energy generated from renewable sources in gross final energy consumption;
Heating and Cooling: 15.5% of demand met by renewable energy sources;
Electricity: 37% of electricity demand met by electricity generated from renewable energy sources;
Transport: 13% of energy demand met by renewable energy sources; IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Under the EU Directive 2009/28/EC, EU member countries must create and submit National Renewable Action Plans (NREAPs) to the European Commission, detailing their strategies to achieve 2020 targets for renewable energy, energy efficiency, and greenhouse gas reductions. Germany's specific renewable energy targets for 2020 include: 18% of total energy consumption from renewable sources, 15.5% of heating and cooling demand met by renewables, 37% of electricity demand from"
Nigeria,"The Nigeria Economic Sustainability Plan (NESP) aims at developing respond robustly to the challenges posed by the COVID-19 pandemic by creating a financial stimulus to ramp up Nigerian economy.  The plan focuses on supporting of SMEs, creation of jobs and protect poor and vulnerable people.
The main interventions proposed lies on the agricultural field, construction and repair of roads and housing programmes. Regarding the energy sector, the plan notably develops a solar power strategy targeting 5 million households, serving about 25 million individual Nigerians who are currently not connected to the National Grid. It encourages private sector solar PV installation companies to participate by allowing access low-cost financing from development finance institutions.","The Nigeria Economic Sustainability Plan (NESP) aims to address the economic challenges posed by the COVID-19 pandemic through a financial stimulus designed to boost the Nigerian economy. It focuses on supporting small and medium enterprises (SMEs), creating jobs, and protecting vulnerable populations. Key interventions include initiatives in agriculture, construction and repair of roads, and housing programs. Additionally, the plan includes a solar power strategy targeting 5 million households to provide energy to approximately 25 million Nigerians without access to the National Grid."
Costa Rica,"This law creates the regulatory framework to regulate the promotion of electric transportation in Costa Rica and strengthen public policies to foster its use within the public sector and the general public. This law regulates the organization of the public administration linked to electric transport. It also regulates and enhances institutional competences through exemptions, incentives and public policies, in compliance with the commitments made in international conventions ratified by the country and Article 50 of the Constitution.
SPANISH:
La ley de incentivos y promoción para el transporte eléctrico tiene por objeto crear el marco normativo para regular la promoción del transporte eléctrico en el país y fortalecer las políticas públicas para incentivar su uso dentro del sector público y en la ciudadanía en general.
Esta ley regula la organización administrativa pública vinculada al transporte eléctrico, las competencias institucionales y su estímulo, por medio de exoneraciones, incentivos y políticas públicas, en cumplimiento de los compromisos adquiridos en los convenios internacionales ratificados por el país y el artículo 50 de la Constitución Política.","The law establishes a regulatory framework to promote electric transportation in Costa Rica and enhance public policies to encourage its adoption by both the public sector and the general public. It organizes the public administration related to electric transport and strengthens institutional competencies through exemptions, incentives, and public policies, in alignment with international commitments and Article 50 of the Constitution."
Belgium,"The Royal Decree of 5/4/2011 on wood pellets for non-industrial heating appliances establishes sustainability and physico-chemicals requirements for wood pellets. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",The Royal Decree of 5/4/2011 sets forth sustainability and physical-chemical standards for wood pellets used in non-industrial heating appliances. This regulation aims to ensure that wood pellets meet specific criteria for environmental sustainability and quality.
Singapore,This policy sets out to advance Singapore's sustainability transition. It sets a series of objectives for key decarbonization areas,This policy aims to promote Singapore's sustainability transition by establishing specific objectives focused on key areas of decarbonization.
United States of America,"Greenhouse Gas Emissions Standards and Fuel Efficiency Standards for Medium- and Heavy-Duty Engines and Vehicles (Phase 2).
Fuel efficiency standards for medium- and heavy-duty vehicles. There are four different categories: Combination Tractors, Trailers Pulled by Combination Tractors, Heavy-duty Pickup Trucks and Vans, Vocational Vehicles. The first phase is implemented for the period 2014-2018. The second phase is proposed (2021-2027)
Targets Phase 1 (based on (ICCT, 2015a), see references for more details)
- 5.7 for heavy-duty vehicles, 7.3 for medium-duty vehicles
Phase 2 (based on (ICCT, 2015b), see references for more details)
- 6.1 miles per gallon by 2027 for medium trucks
- 4.6 miles per gallon by 2027 for heavy trucks","The ""Greenhouse Gas Emissions Standards and Fuel Efficiency Standards for Medium- and Heavy-Duty Engines and Vehicles (Phase 2)"" establishes fuel efficiency standards for four categories of vehicles: Combination Tractors, Trailers Pulled by Combination Tractors, Heavy-duty Pickup Trucks and Vans, and Vocational Vehicles. Phase 1 was implemented from 2014 to 2018, setting targets of 5.7 miles per gallon for heavy-duty vehicles and 7.3 miles per gallon for medium"
Germany,"Special auction. During the 3 years following the decision, additional 4 GW for wind and 4 GW for photovoltaic panels shall be announced. The act also provides auctions for technological neutral innovation and implements several European provisions. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",The policy outlines a special auction plan to introduce an additional 4 GW of wind energy and 4 GW of photovoltaic panels over three years following a specific decision. It also includes provisions for auctions that support technologically neutral innovations and incorporates various European regulations.
