country,policy_description
United Kingdom,"The central obligation is to take appropriate steps to assist the Secretary of State in meeting the net zero target, including by reducing greenhouse gas emissions from sources such as flaring, venting and power generation, supporting carbon capture and storage projects, and unlock clean hydrogen production.
OGA encourages and supports industry to be proactive in identifying and taking the steps necessary to reduce their greenhouse gas emissions as far as reasonable in the circumstances;"
United Kingdom,"The government aims to enhance the UK's energy independence, security, and resilience. UK is emphasizing energy efficiency and building out a low-cost, low-carbon energy system to diminish reliance on fossil fuels. Still, it remains committed to maximizing oil and gas production in the North Sea."
United Kingdom,"The Climate Change (Emissions Reduction Targets) (Scotland) Act 2019, which amends the Climate Change (Scotland) Act 2009, sets targets to reduce Scotland's emissions of all greenhouse gases to net-zero by 2045 at the latest, with interim targets for reductions of at least 56% by 2020, 75% by 2030, 90% by 2040."
United Kingdom,"The Government announced that company car drivers choosing a pure electric vehicle will pay no benefit-in-kind (BIK) tax in 2020/21. In its response to its review of WLTP and vehicle taxes, HM Treasury has binned the previously published BIK rates for 2020/21. The Government added that existing vehicle excise duty (VED) rates – also not part of this review – will stay the same from April 6, 2020, despite the introduction of WLTP values for tax purposes from this date. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,Legislative
United Kingdom,"The Industrial Energy Transformation Fund (IETF) is designed to help businesses with high energy use to cut their energy bills and carbon emissions through investing in energy efficiency and low carbon technologies. The government announced £315 million of funding in the 2018 Budget, available up until 2025."
United Kingdom,"The Energy White Paper puts in place a strategy for the wider energy system that transforms UK's energy and supports green recovery. The main points of the strategy is to transform the energy system by moving away from coal and investing in clean sources for energy supply, such offshore wind energy, pledging to generate carbon-free electricity by 2050. The document outlines investment in technologies as Carbon Capture and Storage (CCS), hydrogen and electric vehicles to decarbonise industry and transport sector. In the building sector, a gradual move away from fossil fuel boilers replace such appliances for lower carbon intensive alternatives. Finally, the document lays out a plan to establish the UK-ETS in order to replace the EU-ETS."
United Kingdom,"Enacted on 27 November 2008, the Planning and Energy Act enables local planning authorities in England and Wales to set requirements for energy use and energy efficiency in local plans. It allows local authorities to establish their own requirements for a proportion of energy used in development plans to come from renewable sources, to be low carbon, or to comply with energy efficiency standards that exceed the requirements of existing building regulations. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The Climate Change Levy (CCL) was introduced by the UK Government in 2001 and is charged on most non-domestic supplies of energy used as fuel for lighting, heating and power. The CCL is designed to promote energy efficiency and encourage investment in energy saving equipment, thereby reducing emissions of greenhouse gases. CHP stations are energy efficient in operation providing very significant fuel savings, and therefore offer cost and efficiency savings over conventional forms of electricity generation and heat supply. Favourable treatment under the CCL legislation is given to a CHP station where it is: registered with the Department for Business, Energy & Industrial Strategy (BEIS) CHP Quality Assurance Programme certified annually under that programme covered by a valid CCL Exemption Certificate issued by the Secretary of State IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The UK Clean Growth Strategy is based on the following pillars : 1) Accelerating clean growth; 2) Improving business and industry efficiency (25% of UK emissions); 3) Improving housing (13% of UK emissions); 4) Accelerating the shift to low-carbon transport (24% of UK emissions); 5) Delivering clean, smart, flexible power (21% of UK emissions); 6) Enhancing the benefits and value of natural resources (15% of UK emissions); 7) Leading in the public sector (2% of UK emissions); and 8) Government leadership in driving clean growth. (For details, see reference.) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Starting in 2025, the sales of diesel and petrol vehicles will be banned in Norway."
Norway,"In 1999, the government tested a new concept to increase energy efficiency in industry. The main focus was efficiency in core industrial processes. The programme was designed to detect the energy influence of using different raw materials singly or in combination. The philosophy behind the programme was to increase energy efficiency, reduce the cost of raw materials (feedstock), increase output in production and increase competitiveness in the industry. Pilot projects were carried out in companies that produce: - Non-ECSC ferro-alloys and pulp. - Paper and paperboard. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"Part 1 of the Climate Change (Scotland) Act 2009 creates the statutory framework for greenhouse gas emissions reductions in Scotland by setting an interim 42% reduction target for 2020, with the power for this to be varied based on expert advice, and an 80% reduction target for 2050. To help ensure the delivery of these targets, this part of the Act also requires that the Scottish Ministers set annual targets, in secondary legislation, for Scottish emissions from 2010 to 2050. Part 2 of the Act contains provisions which allow Scottish Ministers to establish a Scottish Committee on Climate Change, or to designate an existing body to exercise advisory functions, should it be decided that this is appropriate.
Part 3 places duties on Scottish Ministers requiring that they report regularly to the Scottish Parliament on Scotland's emissions and on the progress being made towards meeting the emissions reduction targets set in the Act. Part 4 places climate change duties on Scottish public bodies. This part also contains powers to enable the Scottish Ministers, by order, to impose further duties on public bodies in relation to climate change. Part 5 includes provisions on climate change including adaptation, forestry, energy efficiency and waste reduction. Part 6 relates to public engagement and includes provision on carbon assessment."
Norway,"The Energy Efficiency Network for Buildings (EENB) was established in 1996. Through formalised co-operation, participants such as private owners of commercial buildings, house building co-operatives, local authorities and building administrators exchanged information and experience on energy efficiency projects completed in various buildings. The networks are also used as a forum for developing strategies for energy administration in buildings. Participants are obliged to submit information on their use of energy in buildings. This information is fed into a national statistics database on energy use in buildings. Yearly reports have been available since 1998. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,The Norwegian parliament pledged the government's procurement policy to become deforestation-free.
United Kingdom,"The government made £100m available to further bolster the UK’s position as a key destination for ultra low emission vehicle R&D. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"The following EU legislation has been implemented in Norway:
- Directive on labelling of energy use in household products with underlying implementing regulations. The Directive has been superseded by a recast Directive concerning labelling of energy-related products, which was implemented in Norway in 2013. As of October 2014, underlying regualtions implemented in Norway cover televisions, tertiary lighting, domestic lighting, refrigerators, freezers and combination models, washing machines, tumble dryers, combination washer/dryers, dishwashers and air condtioners. In addition we have implemented a regulation on labelling of electrical ovens.
- Directive for Setting Eco-Design Requirements for Energy-Related Products, which was implemented in Norway in 2011. As of October 2014, underlying regulations implemented in Norway cover televisions, simple set-top boxes, energy losses of electric and electronic devices in standby and off-mode, external power supplies, domestic and tertiary lighting, electric motors, circulation pumps, air conditioners, water pumps, refrigerators, freezers and combination models, washing machines, tumble dryers, combination washer/dryers, dishwashers and industrial fans. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"The governments white paper on climate policy contains proposals for concrete new measures to reduce greenhouse gas emissions. The Government proposes substantial cuts in emissions both in Norway and abroad. The white paper sets out a number of proposed measures for reducing greenhouse gas emissions in Norway, including:
Prohibiting landfilling of biodegradable waste from 2009.
Prohibiting the installation of oil-fired boilers in new buildings as from 2009.
Introducing a new scheme for supporting the conversion of oil-fired boilers to boilers using renewable energy.
Increasing the capital of the fund for the promotion of energy efficiency measures and the use of renewable energy by up to NOK 10 billion by 2012.
Taking targeted and coordinated measures to expand the production of bioenergy by up to 14 TWh.
Continuing the efforts to improve public transport, including the efforts to improve rail transport.
The tax system will also be utilised to encourage environmentally friendly behaviour within a revenue-neutral framework. The result of this white paper was an agreement between all parties except for one in the Storting. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Mineral oil tax applied from 1975 to 1992, when it was superseded by the CO2 Tax (see separate entry). The tax was re-introduced in 2000, due to increase of electricity tax. Exemptions include fisheries, sea and coastal water transport and fish oil and fish meal production. Pulp and paper industry pays low rate of NOK 0,126 per litre. The ordinary rate was NOK 1,590 per litre in 2014. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The UK International Climate Finance Strategy details the government's pledge to double its International Climate Finance commitments to £11.6 billion between 2021 and 2026. This strategy emphasizes allocating funds towards solutions that protect and restore nature, alongside supporting mitigation and adaptation measures in developing nations."
United Kingdom,"The UK resubmitted its 2020 NDC target in 2022. Its latest NDC, however, provides more detail on additional information that improves transparency around the UK's decarbonization plans.
The UK's NDC covers all sectors and gases. For CO2, CH4 and N2O the reference year is 1990 and for F-gases the reference year is 1995. The UK’s overall absolute target is to reduce GHG emissions at least by 68% (including LULUCF) by 2030 compared with reference levels. Emissions from International Aviation and Shipping are not included.
The UK has a policy framework in force establishing the binding commitment of net zero emissions by 2050, and Scotland sets bolder goals to reach net-zero in 2045 and 75% below 1990 by 2030. Wales pledges at least 80% reduction by 2050. 
The Climate Change Act introduced carbon budgets for the UK Government, which cap emissions over successive five-year periods and must be set 12 years in advance.
The UK government is putting into force the Clean Growth Strategy, which is a Ten Point Plan for a green industrial revolution, encompassing clean energy, buildings, transport and technologies. Moreover, the government pushes for individual plans across key sectors such as Energy White Paper, Transport Decarbonisation Plan and Heat and Buildings Strategy (UK NDC, 2020).
UK’s NDC establishes a reduction of 68% of 1990 levels including LULUCF emissions. If LULUCF is excluded, this is equivalent to 69% or 251 MtCO2e. CAT classifies this as strong target and once the UK adopts national policies (2030 ban on the sale of fossil fuel cars and a ramping up of renewable energy investment, particularly into offshore wind) it will bring their emissions in line with the 1.5°C goal. Also, the UK has a net-zero goal by 2050. CAT cannot rate, at this moment, the UK target due to complexities derived from Brexit (Climate Action Tracker, 2021).
 "
Norway,"When leasing EVs, companies are exempted from 25% VAT."
Norway,Legislative
Norway,"2015: NOK 47.11 per g/km of nitrogen oxide emissions ; 2016: NOK 57.95 per g/km of nitrogen oxide emissions . 2017: NOK 70.93 per g/km of nitrogen oxide emissions IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The Carbon Price Floor (CPF) is a UK Government policy implemented to support the EU Emissions Trading System (EU ETS). The CPF taxes fossil fuels used to generate electricity via Carbon Price Support rates set under the Climate Change Levy. The price floor consists of two components which are paid for by energy generators in two different ways: (i) The EU ETS allowance price; and (ii) the Carbon Support Price (CPS), which tops up the EU ETS allowance prices, as projected by the Government, to the carbon floor price target.
At Budget 2014 the Government announced that the CPS component of the floor price would be capped at a maximum of £18/tCO2 from 2016 to 2020 to limit the competitive disadvantage faced by business and reduce energy bills for consumers. This price freeze was extended to 2021 in Budget 2016."
United Kingdom,"The UK aims for 80% of new cars and 70% of new vans sold in Great Britain to be zero-emission by 2030, reaching 100% by 2035. This transition is pivotal for reducing emissions from the transportation sector and achieving climate targets."
United Kingdom,"As part of its COVID-19 economic response, the UK government has announced a National Infrastructure plan, which aims at developing national infrastructure to enable the country reaching its carbon neutrality goal. Key measures include:
• Significant investment in offshore wind and into modern ports and manufacturing infrastructure to expand the share of energy generation from
renewables;
• Providing up to £525 million to bring forward large-scale nuclear and invest in the development of advanced nuclear technologies;
• £1 billion to support the establishment of carbon capture and storage in four industrial clusters;
• Investing in hydrogen to scale up the UK’s capacity to produce both ‘blue’ and ‘green’ hydrogen;
• Investing £1.3 billion in charging infrastructure to accelerate the mass adoption of electric vehicles ahead of ending the sale of new petrol and diesel cars by 2030;
• Enabling heat decarbonisation by supporting the roll-out of existing technologies like heat pumps and development of emerging technologies like
hydrogen;
• Funding to help England to meet its share of the Climate Change Committee’s recommendations to plant 30,000 hectares of trees a year in the UK; and
• Investing £5.2 billion by 2027 to better protect 336,000 properties and boost resilience of communities to the increased risk of flooding and coastal erosion resulting from climate change."
United Kingdom,"The Woodland Carbon Guarantee is an incentive scheme to help accelerate woodland planting rates across
England. These new woodlands will permanently remove CO2 from the atmosphere.
The guaranteed price for your CO2 is agreed with the government through an online reverse auction. In order to bid in the auction, the applicant need to calculate how much money will be needed(per tonne of CO2) to the planting project be viable and worthwhile. If the bid is successful in the auction, the government will buy the CO2 for the bid price.
 "
Norway,"Under the EU Directive 2009/28/EC member countries of the European Union are obliged to draft and submit to the European Commission National Renewable Action Plans (NREAPs) outlining pathway which will allow them to meet their 2020 renewable energy, energy efficiency and GHG cuts targets. Norway has adopted the RES Directive as part of the EEA agreement. Norway submitted its National Action Plan in June 2012.
Norway 2020 renewable energy targets:
Overall target: 67.5% of share of energy generated from renewable sources in gross final energy consumption;
Heating and cooling: 43% of heat consumption met by renewable sources;
Electricity: 114% of electricity demand met by electricity generated from renewable energy sources;
Transport: 10% of energy demand met by renewable energy sources. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"In 2015, infrastructure company BKK, Hordaland County Council and Bergen City Council built a fast charging station that can charge up to 21 electric cars (ABB, 2015). In addition, at least 20% of all new public parking spaces need to be equipped with EVSE outlets (ICCT, 2016). IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,Legislative
Norway,Legislative
United Kingdom,Legislative
Norway,"Norway introduced the CO2 taxes in 1991. The CO2 tax on mineral products applies to mainland activities and is levied on the use of mineral oil (including auto diesel), petrol, natural gas and LPG. It also applied to coke and coal up until January 2003.
Installations included in the EU ETS are exempt from the CO2 tax on mineral oil and are subject to a reduced CO2 tax rate on natural gas and LPG. The general tax rates in 2013 are 0.61 NOK per litre of mineral oil, 0.46 NOK per Sm3 of natural gas and 0.68 NPK per kg of LPG. A higher tax rate applies to domestic aviation not covered by the EU ETS (0.71 NOK per litre in 2013). IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"Highways England has £15m to expand the existing rapid chargepoint network to ensure that across 95 per cent of the strategic road network there will be a chargepoint at least every 20 miles. As part of this, Government will be working with Highways England to understand current and future demand on England’s strategic road network. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Norway’s NDC covers all sectors and gases. In this submission, Norway committed to a reduction of at least 50% and towards 55% compared to 1990 levels by 2030 (52 MtCO2e excluding LULUCF). Norway will implement its NDC jointly with the EU and Iceland, nevertheless it intends to go beyond the EU in the target of 40%, using voluntary collaboration under Article 6 of Paris Agreement.
Economic measures like CO2- taxes and emission trading are central to Norwegian climate policy, but also CCS technologies, electric vehicles and renewable energy will be supported. The following policy instruments are outlined: the EU-ETS; Effort Sharing Regulation (ERS), regulating carbon emissions that fall outside EU-ETS, whereby the Norwegian binding target is to reduce emissions by 40% in 2030 compared with 2005; and LULUCF, which is ought to reach net zero by 2030 (Norway NDC, 2020).
CAT evaluates Norway’s updated NDC as a progress but still insufficient to reach Paris Agreement goals. The present target establishes a reduction of at least 50% relative to 1990 levels by 2030, aiming for 55% (47 – 52% excluding LULUCF according to CAT). In CAT analysis, this new NDC will result in emissions between 24.6 and 27.2 MtCO2e in 2030, falling in a range warming that may reach between 2 and 3 degrees (Climate Action Tracker, 2021)."
United Kingdom,This policy sets out a new regulatory scheme for large businesses to report on climate related information and financial risk. The regulations were made on 17 January 2022 and apply to reporting for financial years starting on or after 6 April 2022.
United Kingdom,Legislative
Norway,25% VAT exemption on EVs
United Kingdom,The England Trees Action Plan 2021 to 2024 sets out the government’s long-term vision for the treescape it wants to see in England by 2050 and beyond. The plan provides a strategic framework for implementing the Nature for Climate Fund and outlines over 80 policy actions the government is taking over this Parliament to help deliver this vision.
United Kingdom,"The Carbon Budget Order 2016 sets the carbon budget for the 2028-2032 budgetary period as 1,725,000,000 tonnes of carbon dioxide equivalent (including emissions from international shipping). The budget limits annual emissions to an average 57 per cent below 1990 levels.
Carbon budgets set a cap on the maximum level of the net UK carbon account for each five-year budgetary period. The net UK carbon account is defined in section 27 of the Climate Change Act 2008."
Norway,"Enova offers subsidies for energy efficient and climate friendly technologies to owners of residential buildings. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The UK Renewable Energy Strategy 2009 is a white paper outlining how the UK will meet its legally-binding target to ensure 15% of energy comes from renewable energy sources by 2020.
Under the 2008 Climate Change Act, the UK must meet legally binding carbon ""budgets"", committing the UK to cuts its emissions by 34% by 2020 and 80% by 2050.
The Strategy comprises three primary 2020 targets:
Over 30% of electricity to be generated from renewable energy sources, mostly from wind power, with biomass, hydro, wave and tidal power playing important roles;
12% of heat to be generated from renewable energy sources, from a large range of sources (biomass, biogas, solar, heat pumps);
10% of transport energy to come from renewable energy sources.
The key measures to achieve the targets are:
An expansion and extension of the Renewables Obligation, requiring energy suppliers to sell larger amounts of renewable energy. New measures to increase financial support for offshore wind will also be considered.
Introducing payment schemes to support the production of renewable heat and small-scale clean electricity generation by households, industry, businesses and communities.
New guaranteed payments will be provided through feed-in tariff schemes from 2010 onwards, and a Renewable Heat Incentive from 2011 onwards. Before the schemes take effect, GBP 45 million in grants have been committed.
The Renewable Transport Fuel Obligation will be amended or replaced, taking into account sustainability issues, to ensure transport fuels contain a rising amount of renewable biofuels."
Norway,"Norway formally submitted a renewed 2030 emissions reduction target in the run up to COP27, changing from 50% to at least 55% below 1990 levels in its updated NDC"
United Kingdom,"The CEEF provides money through a revolving fund to all of Scotland's local authorities, the health boards and Scottish Water for investment in a number of energy efficiency measures such as draught proofing, lighting and insulation, which bring about energy, cost and carbon savings. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The cost of charging infrastructure has come down significantly over the last few years, and the cost for many innovative new on-street solutions can be as low as £200-£500 per unit. The maximum amount the Office for Low Emission Vehicles (OLEV) will fund per chargepoint is £7,500, but OLEV anticipates costs to be much cheaper than this in most cases. Demonstrating value for money consideration in the application is crucial, and prices will be challenged to ensure that they are appropriate. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"In 1995, a pilot project with four energy utilities participating in three regions was completed which aimed at developing a more simplified and informative electricity bill for household consumers. The goal was to give customers a better understanding of both energy efficiency and a liberalised electricity market. Customers participating in the pilot project receive frequent electricity bills based on actual electricity consumption. The bills included a graphical, temperature related figure which enabled the customers to compare their use of energy over time. Information regarding energy efficiency measures, the possibility of changing suppliers and information on tariffs was included in the bill. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Regarding Light-Duty Vehicles (LDVs), Norway set ambitious targets at 85 gCO2/km for 2021, with the aim to reach 0 gCO2/km by 2025."
Norway,"2 million euros for the installation of 400 charging points between 2008-2011, 200 new charging points per year from 2013, 1,200 total by of the end of 2016, and 200 new ones in 2017 IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The OLEV (Office for Low Emission Vehicles) Plug-in Motorcycle Grant (PIMG) only applies to a new motorcycle or scooter that meets all of the eligibility criteria for the scheme, as set out on OLEVs website, and that has been approved by OLEV. These criteria are updated regularly, for example, during the course of the grant scheme new safety requirements or European regulations or standards come into force for motorcycles or scooters. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Oslo adopted a measure in 2017 to strengthen the availability of private charging infrastructure. This regulation mandates that new buildings must have at least 50% of the parking facilities equipped for electric car charging. The grid capacity must also be designed to charge at 3.6 kW all of the vehicles in the building without any need for smart charging to prevent local power shortages. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"The Sustainable Cities Programme in Norway has been an experimental development project in five urban municipalities with the objective of achieving more environmentally friendly cities.The project was started in 1993 and finished in the year of 2000.
Each of the priority areas listed below has had its own professional group with representatives from the cities, ministries and directorates, researchers and experts."
Norway,"Strategy that covers 16 initiatives, encompassing urban planning, transport, buildings and resource utilisation. (For details, see resources.) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,Legislative
United Kingdom,"The Ultra Low Emission Zone (ULEZ) replaced the T-Charge on 8 April 2019. It operates 24 hours a day, 7 days a week, every day of the year (except Christmas Day), within the same area as the Congestion Charge zone. Most vehicles, including cars and vans, need to meet the ULEZ emissions standards or their drivers must pay a daily charge to drive within the zone. As of January 2020, the fees are: £12.50 for most vehicle types, including cars, motorcycles and vans (up to and including 3.5 tonnes); £100 for heavier vehicles, including lorries (over 3.5 tonnes) and buses/coaches (over 5 tonnes). (See references for detailed information on requirements and standards.)"
United Kingdom,"The Carbon Budget Delivery Plan fulfills statutory obligations under the Climate Change Act 2008, detailing proposals and policies to meet Carbon Budgets 4-6. It addresses associated risks and timescales, crucial for transitioning to a low-carbon economy."
Norway,"1 January 2012 a common Norwegian-Swedish certificate market for renewable electricity production was established. The overall target for new renewable electricity production in the common electricity certificate market is 28.4 TWh by the year 2020. The certificate scheme is an important measure in the strategy to reach Norways national energy target in accordance with the renewables directive, which is 67.5 % renewable energy by 2020. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"In 1994, the United Kingdom introduced energy efficiency obligations with the goal of achieving energy savings. The latest iteration of the oligation is the Energy Company Obligation which began in April 2013, and over time it has been amended. The latest phase, ECO3, commenced on 3 December 2018, and applies to measures completed from 1 October 2018. EC03 wfocuses on one obligation, the Home Heating Cost Reduction Obligation (HHCRO). Under HHCRO, obligated suppliers must mainly promote measures which improve the ability of low income, fuel poor and vulnerable households to heat their homes. This includes actions that result in heating savings, such as the replacement of a broken heating system or the upgrade of an inefficient heating system. Under ECO2, which ran from 1 April 2017 to 30 September 2018, suppliers were also required to deliver against an additional obligation called the Carbon Emissions Reduction Obligation (CERO). IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"This strategy aims at improving public bus transportation systems, making more reliable, sustainable, cheaper and more frequent across the country, with the objective of decreasing private vehicle use, congestion and air pollution.
The strategy further aims for the delivery of 4,000 new electric or hydrogen buses, and end sales of new diesel buses."
United Kingdom,"The Electric Vehicle Homecharge Scheme (EVHS) provides grant funding of up to 75% towards the cost of installing electric vehicle chargepoints at domestic properties across the UK. From 1st July 2019, the EVHS will only support smart chargepoints as announced in December 2018. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The Affordable Warmth Scheme is the Northern Ireland Government's scheme to tackle fuel poverty in the private sector. The Housing Executive and local Councils deliver the Scheme throughout Northern Ireland. Eligibility requirements require applicants to own their own home or rent it from a private landlord, and have a total annual income of less that £20,000. The Scheme is targeted at areas where levels of fuel poverty are worst. There are a range of energy efficiency measures available through the Affordable Warmth Scheme up to £7,500 (£10,00O if dwelling is of solid wall construction and insulation measures are needed) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Since 2017, municipalities define if they offer free parking for EV owners. Some have decided to apply a fee that would not exceed 50% of what is paid by fossil-fuel car owners."
United Kingdom,"This builds on the £1bn joint government/industry commitment on an Advanced Propulsion Centre announced last summer and will focus on the technologies needed to deliver mass market ultra low emission vehicle motoring. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"A Resolution adopted by the Norwegian Parliament seeks to halt emissions from cruises and ferries in the Norwegian world heritage fjords ""as soon as technically possible and no later than 2026""."
United Kingdom,"This strategy outlines the UK government's strategy to decarbonisation in key industrial sectors such as metals and minerals, chemicals, food and drink, paper and pulp, ceramics, glass, oil refineries and less energy intensive manufacturing.
The government aims to enable the transition to a low carbon economy within the industrial sector. The policy framework outlined encompasses carbon pricing, funding mechanisms to technology development and the adjustment of the policy framework to stimulate the uptake of fuel switching. Also, the government aims at getting consumers to choose low carbon products by setting products standards and labelling. "
Norway,"This policy encourages increased efforts to prepare a more environmentally friendly energy system, e.g., by stimulating investments in infrastructure for district heating and increased efforts to modernise and upgrade hydropower plants. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"This order established a new UK emissions trading regime. The new UK- ETS applies to GHG emissions from power and heat generations, energy intensive industries, and aviation.  It also provides details on the rules governing the issuance of ""allowances""."
United Kingdom,"Applies to liquid fuels (including bioethanol and biodiesel), as well as to LPG and natural gas (including biogases) when used as motor and heating fuels (OECD 2019)."
United Kingdom,"Following the United Kingdom’s departure from the European Union, the Agricultural Act was issued to replace the Common Agricultural Policy (CAP) stating a new system of subsidies to agricultural and forestry activities, such as direct payments and l and rural development payments, now called as basic payment scheme encompassing greening payments.
In article 1, the law establishes that the government will give financial assistance to activities that mitigate or adapt to climate change and section 35 the read meat levy."
United Kingdom,"The Financial Act brings the rates of the climate change levy for April /2021 onwards in its article 93. These changes reflect the changes in the fuel mix used in electricity generation.
The schedule 12 outlines modifications in the policy framework regarding the Carbon emission tax following the UK withdrawal from European Union. "
Norway,"Enova offers investment aid for reduction of GHG-emissions in the transport sector. This inclueds support for zero-emission, hybrid and biogass vehicles and zero-emision technology in vessels. Enova also supports charging an biogass and hydrogen refueling infrastructure. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"The regulation sets out the incentive mechanism introduced by the Electricity Certificates Act, i.e. the quota system for electricity from renewable sources."
United Kingdom,"The CCUS Net Zero Investment Roadmap outlines the UK's strategy to develop carbon capture, usage, and storage capacity. It aims to establish two CCUS clusters by the mid-2020s and an additional two by 2030, capturing 20-30 MtCO2 per year, thus contributing significantly to decarbonization efforts."
United Kingdom,Climate Change Agreements (CCAs) are voluntary agreements allowing industry users to receive a discount from the Climate Change Levy of up to 90% (100% only for metallurgical and mining) if they meet energy efficient or carbons savings targets. The 2020 amendment extended the CCA up to 2025.
United Kingdom,"The Warm Front scheme provided grants for packages of insulation and heating measures to vulnerable households in the private sector in England of up to GBP 3 500 (or GBP 6 000 where oil central heating or other alternative technologies are recommended). It was focused on citizens in receipt of certain income-related benefits. It ended in December 2012. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Purchase and operation of six electric buses in Buskreud, Norway. Brakar (who are responsible for public transport in Buskreud) awarded the contract to the dutch company Ebusco. They are financed by grants from Enova and Buskreud county council. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,Executive
United Kingdom,"The government allocates £1.8 billion through various schemes to upgrade social homes and public buildings, enhancing their energy efficiency. This initiative is integral to reducing carbon emissions from the housing and public sectors, contributing to national climate goals."
United Kingdom,"The Energy act (2016) supersedes the previous versions. It makes provision and establishes the Oil and Gas Authority and its functions. Also, the act regulates the onshore wind power. 
 "
Norway,"The Research Council of Norway administers this industry-driven R&D programme to develop products and processes for efficient energy technologies and new renewable energy sources in Norwegian enterprises. Its primary research areas are bioenergy, wind, photovoltaics, thermal solar, wave energy, heat pumps and hydrogen. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The UK has set its indicative national energy efficiency target on the basis of final energy consumption. This means the indicative target is 129.2 MTOE on a net calorific basis, which would amount to an 18% reduction (28.5 MTOE) from the UK's 2007 business as usual project projection for 2020. This indicative target has been set taking into account the overarching European goal of reducing energy consumption by 20% relative to 2007 PRIMES projection of 2020 demand. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"The White Paper addresses three key energy policy matters in Norway: - Efforts to promote environmentally friendly technologies to produce electricity from gas through the establishment of the new body; - The development of infrastructure for gas with a focus on stepwise approach and the transport of natural gas on ships; and - The possible establishment of a Swedish-Norwegian mandatory market for certificates from renewable energy with the objective of submitting a proposal for a law on this matter in spring 2005, and its implementation on 1 January, 2005. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,The Industrial Heat Recovery Support (IHRS) programme was designed to encourage and support investment in heat recovery technologies. This means helping businesses identify and invest in opportunities for recovering and reusing heat that would otherwise be wasted.
