country,policy_description,Summary
Kazakhstan,"Economy-wide target of 15%-25% reduction in greenhouse gas emissions by 2030 compared to 1990.
A 25% reduction in GHG emissions by 31 December 2030 compared to the base year, subject to additional international investments, access to low carbon technologies transfer mechanism, green climate funds and flexible mechanism for country with economy in transition.","The policy aims for an economy-wide reduction of greenhouse gas emissions by 15% to 25% by 2030 relative to 1990 levels. Specifically, a target of a 25% reduction by December 31, 2030, is set, contingent upon securing additional international investments, access to low carbon technology transfer mechanisms, green climate funds, and flexibility for countries with transitioning economies."
Samoa,"This policy outlines Samoa's response to climate change as identified in the 1993 National
Environment and Development Management Strategies (NEMS). It provides a national
framework to mitigate the effects of climate change and adapt to its impacts in an effective
and sustainable manner.","The policy details Samoa's approach to addressing climate change, as established in the 1993 National Environment and Development Management Strategies (NEMS). It presents a national framework aimed at mitigating climate change effects and adapting to its impacts sustainably and effectively."
Belgium,"A new standard introduced in Flanders, Belgium in January 2015 sets a minimum requirement for roof insulation in residential buildings, applied when the home is rented out. If a residential building does not meet the minimum requirements, it receives penalty points. From 2020 if a building or apartment receives more than 15 penalty points, the building will be ineligible for renting. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","In January 2015, Flanders, Belgium implemented a standard requiring minimum roof insulation in residential buildings that are rented out. Buildings failing to meet these insulation requirements accumulate penalty points. Starting in 2020, if a building or apartment accumulates more than 15 penalty points, it becomes ineligible for renting."
Germany,"Reduce emissions to 40% below 1990 levels by 2020; to 55% by 2030; to 70% by 2040 and to 8095% by 2050.
The country has set a target of 20% reduction in primary energy consumption by 2020 and 50% by 2050 when compared to 2008.
Share of renewable energy of energy supply: 30% by 2030, 45% by 2040, 60% by 2050.
Share of renewable electricity supply: 35 % by 2020, 50% by 2030, 65% by 2040, 80% by 2050.","The policy aims to significantly reduce greenhouse gas emissions, targeting a 40% reduction from 1990 levels by 2020, 55% by 2030, 70% by 2040, and 80-95% by 2050. Additionally, it sets goals for energy consumption reduction, aiming for a 20% decrease by 2020 and 50% by 2050 compared to 2008 levels. The policy also promotes renewable energy, with targets for its"
Italy,"The allocation method for subsidies to renewable energy sources other than solar is updated by the Ministerial Decree offering incentives to electricity production from renewable energy sources (The RES Decree) of 2016. The program includes non-photovoltaic renewable energy sources such as wind farms, hydro, biomass and biogas, CSP, and wind farms for the year 2016. While lowering the overall value of the available incentives, it keeps the framework of the previous incentive regime from 2012 to 2015. Similar to the previous program, renewable energy facilities may take advantage of either an all-inclusive tariff for facilities up to 500 kW or a feed-in tariff for facilities up to 500 kW who choose not to take advantage of the above all-inclusive tariff or for facilities with nominal capacities over 500 kW.
Reverse auctions are used for plants with a capacity over 5MW, while registry procedures are used for plants with a capacity under 5MW. The 2019 decree modifies the 2016 decree to encourage the generation of renewable energy from 2019 to 2021.","The 2016 Ministerial Decree, known as the RES Decree, updates the subsidy allocation method for non-solar renewable energy sources, including wind, hydro, biomass, biogas, and Concentrated Solar Power (CSP), while maintaining the framework from the previous incentive regime (2012-2015). Although the overall value of incentives is reduced, renewable energy facilities can still opt for an all-inclusive tariff for installations up to 500 kW or a feed-in tariff for those that"
Togo,11.14% Unconditional reduction of GHG emissions and 31.14% conditional reduction bases on 2010 emissions.,"The policy outlines a commitment to reduce greenhouse gas (GHG) emissions by 11.14% unconditionally, along with an additional conditional reduction of 31.14%, both based on 2010 emission levels."
India,"Government of India launched the National Electric Mobility Mission Plan (NEMMP) 2020 in 2013. It aims to achieve national fuel security by promoting hybrid and electric vehicles in the country. There is an ambitious target to achieve 6-7 million sales of hybrid and electric vehicles year on year from 2020 onwards. Government aims to provide fiscal and monetary incentives to kick start this nascent technology. With the support from the Government, the cumulative sale is expected to reach 15-16 Million by 2020. It is expected to save 9500 Million Liters of crude oil equivalent to Rs. 62000 Cr. savings. Government has launched the scheme namely Faster Adoption and Manufacturing of (Hybrid &) Electric Vehicles (FAME India) under NEMMP 2020 in the Union Budget for 2015-16 with an initial outlay of Rs. 75 Cr.","The National Electric Mobility Mission Plan (NEMMP) 2020, launched by the Government of India in 2013, aims to enhance national fuel security by promoting hybrid and electric vehicles. The goal is to achieve annual sales of 6-7 million such vehicles starting in 2020, with a cumulative target of 15-16 million sales by that year. The government plans to provide fiscal and monetary incentives to support this emerging technology, which is expected to save approximately 9,500"
India,"With the ratification of the Kigali Amendment, group III parties commit to peak HFCs consumption by 2028 and to gradually phase down in line with the following schedule:
(i) 2028 to 2031: 100 per cent
(ii) 2032 to 2036: 90 per cent
(iii) 2037 to 2041: 80 per cent
(iv) 2042 to 2046: 70 per cent
(v) 2047 and thereafter: 15 per cent","The Kigali Amendment commits Group III parties to peak their consumption of hydrofluorocarbons (HFCs) by 2028 and to gradually reduce consumption according to the following schedule: from 2028 to 2031, consumption will be capped at 100%; from 2032 to 2036, it will be reduced to 90%; from 2037 to 2041, to 80%; from 2042 to 2046, to 70%; and from"
Indonesia,"The Plan sets out the projections relating to electricity demand growth, energy mix, infrastructure and available investment sectors for Independent Power Producers (IPPs). The RUPTL prioritises the use of renewable energy sources, as well as domestic use of gas, and serves as the basis for state-owned electricity company, Perusahaan Listrik Negara (PLN), to meet Indonesias projected energy needs. In terms of electricity, IPPs are allocated power projects to deliver a total of 33,666 MW, while state-owned PLN is slated to build power plants delivering approximately 16,243 MW. Coal is projected to account for 54 per cent of Indonesias electricity production, renewables 23 per cent, gas 22 per cent and fuel the balance. The largest share of renewables goes to hydro/mini-hydro (9.7GW), followed by geothermal (4.6 GW). Rooftop solar photovoltaic is projected at 3,200 MW. (Nuclear power considered.) To reach 100% electrication, the Plan seems to point at the importance of decentralized renewable solutions. The EV industry is also taken into account, with the PLN developing a national standard for EV charging specifications and preparing a roadmap to prepare for the installation of charging stations. A full table of the power projects can be found here in the reference listed below.","The Plan outlines projections for electricity demand growth, energy sources, infrastructure, and investment opportunities for Independent Power Producers (IPPs) in Indonesia. It emphasizes the importance of renewable energy and domestic gas use to meet the country's energy needs, guiding state-owned electricity company Perusahaan Listrik Negara (PLN). IPPs will manage power projects totaling 33,666 MW, while PLN will undertake projects for about 16,243 MW. The energy mix is projected to consist of 54% coal,"
Ukraine,"Ukraine has been part of the Energy Community, and therefore aligning its policies with the EU Directives.","Ukraine is a member of the Energy Community, which requires it to align its energy policies with European Union directives."
Indonesia,"Legislative: Law 21/2014 IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The policy description refers to Law 21/2014, which is part of the IEA/IRENA Global Renewable Energy Policies and Measures Database. This law aims to enhance the development and implementation of renewable energy policies, providing a framework for countries to adopt sustainable energy measures. The database, created by the OECD/IEA and IRENA, serves as a resource for tracking and analyzing global renewable energy initiatives as of November 2020."
Mexico,"Initiated in 2013, the EcoCasa programme is managed by the government's Federal Mortgage Society (Sociedad Hipotecaria Federal), with support from the German KfW Development Bank. It aims to promote energy efficient social housing in order to reduce CO2 emissions by 20 to 40% compared to baseline houses.","The EcoCasa programme, launched in 2013 and managed by Mexico's Federal Mortgage Society with support from the German KfW Development Bank, aims to enhance energy efficiency in social housing. The goal is to reduce CO2 emissions by 20 to 40% compared to standard housing."
Indonesia,"The Regulation of 2010 mainly applies to renewable energy, but also to power plants in general. It stipulates that Import duty exemptions are valid for:
for machinery and capital for renewable energy;
for capital goods required for public electricity supply (on- and off-grid).
Value Added Tax (VAT) exemptions apply to taxable goods imported to develop renewable energy projects, as long as no substitutes are manufactured in Indonesia. Exemptions are valid for 2 years with optional exenstion depending on applicability and feasibility. As of 2016, the exemption is still applicable.
The VAT exemption applies to machinerey (both constructed and dismantled); while tax may still be rasied on spare parts that companies need to use renewable energy for end-product manufacturing.","The 2010 Regulation primarily focuses on renewable energy but also encompasses general power plants. It allows for import duty exemptions on machinery and capital for renewable energy and capital goods needed for public electricity supply, both on-grid and off-grid. Additionally, there are VAT exemptions for taxable goods imported for renewable energy projects, provided that no local substitutes are produced in Indonesia. These exemptions are valid for two years and may be extended based on applicability and feasibility, with the exemption still in effect as of 2016."
European Union,"""The European directive on mobile air conditioning systems (MACs) (Directive 2006/40/EC) aims at reducing emissions of HFC R134a from the air conditioning systems fitted to passenger cars.
In practical terms, the use of the gas that is currently used for filling MAC systems (HFC R134a) is not permitted for newly type-approved vehicles sold in the EU since January 2011, and all new vehicles sold from January 2017.""
""The EU has dictated that, instead, the impacted vehicles must use a refrigerant gas with Global Warming Potential (GWP) of 150 or less. The directive only applies to new vehicles. All vehicles currently using R134a will be able to continue to use that gas."" (http://www.linde-gas.com/de/products_and_supply/refrigerants/environment_and_legislation/global_warming_legislation_hfc_control/eu_mac_directive/index.html)
"" The traditionally used refrigerant in MAC systems, R134a, has a GWP of 1300. The aim of the Directive is to enforce the use of gases with GPW lower than 150.""
""From 1 January 2017, the use of fluorinated greenhouse gases with a GWP higher than 150 in all new vehicles put on the EU market will be totally banned. New vehicles with MAC systems using these gases will not be registered, sold, or able to enter into service in the EU."" (https://ec.europa.eu/growth/sectors/automotive/environment-protection/mobile-air-conditioning-systems_en)","The European directive on mobile air conditioning systems (MACs) (Directive 2006/40/EC) aims to reduce emissions of HFC R134a, a refrigerant with a high Global Warming Potential (GWP) of 1300, from passenger car air conditioning systems. Since January 2011, new type-approved vehicles in the EU are prohibited from using R134a, and from January 2017, all new vehicles must use refrigerants with a GWP of"
Norway,"The Norwegian Government Environmental Fund is a loan scheme administered by the Norwegian Industrial and Regional Development Fund. The scheme was established to provide funding for projects that help to reduce emissions of greenhouse gases and other environmentally harmful gases, and provide funding for energy efficiency investments. ""Oko-bygg"" is a development programme that was started in 1998. It provides information, advice and grants to promote the use of eco-efficient technology, including more efficient and flexible energy use in the construction industry. The programme will end in 2002. The Norwegian State Housing Bank offers various loan and grant schemes for residential energy efficiency measures. From 2002 the housing bank also offers NKr 140 000 in extra loans and NKr 10 000 in grants to homebuilders who invest in water heating systems based on bioenergy, solar or that use heat pumps. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The Norwegian Government Environmental Fund is a loan scheme managed by the Norwegian Industrial and Regional Development Fund, aimed at funding projects that reduce greenhouse gas emissions and enhance energy efficiency. The ""Oko-bygg"" program, initiated in 1998 and concluding in 2002, promotes eco-efficient technology in the construction industry through information, advice, and grants. Additionally, the Norwegian State Housing Bank provides loan and grant schemes for residential energy efficiency, including extra financial support for homebuilders investing in bioenergy, solar"
Bosnia and Herzegovina,"With the ratification of the Kigali Amendment, group I parties commit to peak HFCs consumption by 2019 and reduce it to 15% of 2012 levels by 2036",The Kigali Amendment requires group I parties to limit their consumption of hydrofluorocarbons (HFCs) by reaching a peak by 2019 and subsequently reducing it to 15% of 2012 levels by the year 2036.
Thailand,"The draft Climate Change Act lays out Thailands action plan for climate change mitigation and adaptation, including emissions reductions. Some of the key sections in the draft law involve citizen rights, government obligations, the National Climate Change Policy Committee, and a national GHG database.","The draft Climate Change Act in Thailand outlines a comprehensive action plan for mitigating and adapting to climate change, focusing on emissions reductions. Key components of the legislation include provisions for citizen rights, government responsibilities, the establishment of a National Climate Change Policy Committee, and the creation of a national greenhouse gas (GHG) database."
Switzerland,"increase the proportion of electricity produced by new renew¬able energy (without large-scale hydro) by 5,400 GWh, or 10% of the country's present-day electricity consumption, by 2030","The policy aims to boost the share of electricity generated from ""new"" renewable energy sources (excluding large-scale hydro) by 5,400 GWh, which represents 10% of the country's current electricity consumption, by the year 2030."
Hungary,increase GHG emissions by a maximum 10% by 2020 compared to 2005,"The policy aims to allow a maximum increase of greenhouse gas (GHG) emissions by 10% by the year 2020, using 2005 levels as the baseline for comparison."
Cyprus,The national emission target for Cyprus under the EU Effort Sharing Decision is 5% reduction of greenhouse gas emissions in 2020 compared to 2005 level.,"Cyprus's national emission target under the EU Effort Sharing Decision is to achieve a 5% reduction in greenhouse gas emissions by 2020, compared to the levels recorded in 2005."
Ukraine,"In 2017 the Parliament approved the important laws - On Energy Efficiency in Buildings, On Commercial Metering of Utility Services, and On the Energy Efficiency Fund. The adoption of this legislation enabled government to create the Energy Efficiency Fund of Ukraine (EEFU). The affordable financing from the EEFU will target energy efficiency improvement of multi-apartment buildings managed by homeowners associations. The EEFU is going to propose two rehabilitation packages at the start of its operations  light and complex. The light package is the loan to homeowners association from the bank participating in the program in an amount UAH 500 - 600 thousands from which EEFU will reimburse 40% of the body of the loan. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","In 2017, the Ukrainian Parliament enacted key laws on energy efficiency, leading to the establishment of the Energy Efficiency Fund of Ukraine (EEFU). This fund aims to provide affordable financing for energy efficiency improvements in multi-apartment buildings managed by homeowners associations. At its launch, the EEFU will offer two rehabilitation packages: a ""light"" package, which consists of loans ranging from UAH 500,000 to 600,000, with the EEFU reimbursing 40% of"
Brazil,"""The Contribuição sobre Intervenção do Domínio Econônomico (best known as CIDE) is an important and complex tax levied on some specific products in Brazil.""
(Source: http://thebrazilbusiness.com/article/introduction-to-cide)
"" CIDE was originally introduced in 2002 and is levied on the import and retail sale of gasoline, diesel fuel, fuel oil, aviation kerosene, LPG, other petroleum products, and ethanol fuel. The bulk of the revenues raised through the CIDE (71%) are collected by the Federal Government,
with the rest allocated to states in shares proportional to the length of their roads, their consumption of fuel, and their population.""
(Source: ftp://ftp.oecd.org/FFS2015/BRA_country%20overview.pdf)","The Contribuição sobre Intervenção do Domínio Econônomico (CIDE) is a complex tax in Brazil, introduced in 2002. It applies to the import and retail sale of specific fuels, including gasoline, diesel, fuel oil, aviation kerosene, LPG, other petroleum products, and ethanol. The majority of the revenue (71%) is collected by the Federal Government, while the remainder is distributed to states based on their road length, fuel consumption, and population."
Russian Federation,"""The law requires payment for pollution, including emissions into the atmosphere. The law makes clear that payment of these ""pollution fees"" does not protect an activity from other liability for environmental harm. (Art. 16)
The government shall set limits on emissions and dumping based on the norms of admissible human load on the environment, the norms of environmental quality and also technological norms, and use this in permits for the polluting activities. (Art. 23)
The construction and operation of oil and gas production, processing, transport, storage, and sales facilities shall comply with this law. These facilities may be held liable for compensation of environmental damages, and permitting should be conditioned on a showing of financial ability to restore the site once the activity ceases. (Art. 46)""
(IEA, 2020)","The policy mandates that entities responsible for pollution, including emissions, must pay pollution fees, but these payments do not exempt them from other environmental liabilities. The government is tasked with establishing emission and dumping limits based on acceptable environmental standards and technological norms, which will be used in permits for polluting activities. Additionally, the construction and operation of oil and gas facilities must adhere to these regulations, and such facilities can be held accountable for environmental damages. Permits for these operations require proof of financial capability to restore the"
France,Amendments for the simplification of the interconection to the grid from ofsshore Renewables infastructure.,The policy focuses on streamlining the process for connecting offshore renewable energy infrastructure to the electrical grid. It aims to simplify regulations and procedures to facilitate faster and more efficient integration of offshore renewable energy sources into the existing grid system.
Brazil,"With the ratification of the Kigali Amendment, group II parties commit to peak HFCs consumption by 2024 and to gradually phase down in line with the following schedule:
(i) 2024 to 2028: 100 per cent
(ii) 2029 to 2034: 90 per cent
(iii) 2035 to 2039: 70 per cent
(iv) 2040 to 2044: 50 per cent
(v) 2045 and thereafter: 20 per cent","The Kigali Amendment requires group II parties to peak their consumption of hydrofluorocarbons (HFCs) by 2024 and then gradually reduce it according to a specified schedule: 
- 2024 to 2028: 100% of the baseline consumption
- 2029 to 2034: 90%
- 2035 to 2039: 70%
- 2040 to 2044: 50%
- 2045 and beyond:"
Switzerland,"The Federal Act on the Reduction of CO2 Emissions forms the basis of Swiss climate legislation.
Art. 3 of the Act states that domestic greenhouse gas emissions must be reduced overall by 20 per cent as compared with 1990 levels, by 2020. It also specifies that the Federal Council may increase the reduction target to 40 per cent in order to comply with international agreements.","The Federal Act on the Reduction of CO2 Emissions is central to Swiss climate legislation. It mandates a 20% reduction in domestic greenhouse gas emissions by 2020 compared to 1990 levels, with the possibility for the Federal Council to raise this target to 40% to align with international agreements."
Italy,Legislative decree 79/99,"Legislative Decree 79/99 is an Italian law that regulates the organization and management of public services in the country. It aims to promote efficiency, transparency, and competition within the public sector by establishing frameworks for the delivery of services. The decree emphasizes the need for public entities to adopt modern management practices and encourages the involvement of private entities in providing public services. It also outlines the principles for service quality, user rights, and the accountability of service providers. Overall, the decree seeks to enhance"
Philippines,"The Energy Efficiency and Conservation Action Plan lists various short-term measures to enhance energy efficiency in the buildings, industry, energy supply, and transport sectors.
This Action Plan consists of ""39 initiatives across all energy using sectors, as well as key initiatives to establish a stronger institutional framework, build energy efficiency understanding and capacity in the finance sector, and establish performance monitoring frameworks"" (source: Asia Pacific Energy)","The Energy Efficiency and Conservation Action Plan outlines short-term strategies to improve energy efficiency across buildings, industry, energy supply, and transport. It includes 39 initiatives aimed at various energy-using sectors, focusing on strengthening institutional frameworks, enhancing energy efficiency awareness in the finance sector, and developing performance monitoring systems."
Japan,Original title: ????????????,"It appears that the title you provided is not legible. If you could provide the content or details of the policy description, I would be happy to help summarize it for you!"
Somalia,"With the ratification of the Kigali Amendment, group II parties commit to peak HFCs consumption by 2024 and to gradually phase down in line with the following schedule:
(i) 2024 to 2028: 100 per cent
(ii) 2029 to 2034: 90 per cent
(iii) 2035 to 2039: 70 per cent
(iv) 2040 to 2044: 50 per cent
(v) 2045 and thereafter: 20 per cent","The Kigali Amendment requires group II parties to peak their HFC consumption by 2024 and progressively reduce it according to the following schedule: maintain 100% consumption from 2024 to 2028, reduce to 90% from 2029 to 2034, 70% from 2035 to 2039, 50% from 2040 to 2044, and limit consumption to 20% from 2045 onward."
European Union,Amended by Directives 2006/38/EC and 2011/76/EU),"The policy has been updated by Directives 2006/38/EC and 2011/76/EU, which likely involve amendments aimed at improving specific regulatory frameworks or addressing particular issues within the scope of the original policy. The details of these amendments would typically focus on enhancing efficiency, compliance, or addressing emerging challenges related to the policy's objectives."
United States of America,"In 2019, EPA changed the rules allowing states and the EPA to take longer to develop and approve plans aimed at cutting methane emissions from new and existing landfills.","In 2019, the EPA revised its regulations to permit states and the EPA more time to create and approve strategies for reducing methane emissions from both new and existing landfills."
Germany,"This document lays out the government's approach to financial industry regulation and policy. It draws attention to the fact that investment risks are also associated with sustainability concerns and that financial market stability is a fundamental objective of sustainable finance. It outlines the following goals in an effort to establish Germany as a global leader in sustainable finance: Promote sustainable finance at the European and global levels,
take advantage of opportunities, fund transformations, and combine sustainable impacts,
Targeted risk management improvements for the financial sector are needed to ensure the stability of the financial markets.
promote Germany as a sustainable finance hub and develop skills,
Establish the German government as a leader in the financial system for sustainable finance.","This policy document outlines the German government's strategy for regulating the financial industry with a focus on sustainable finance. It emphasizes the interconnection between investment risks and sustainability concerns, highlighting financial market stability as a key objective. The goals include promoting sustainable finance at both European and global levels, leveraging opportunities for transformation and sustainable impact, improving risk management in the financial sector to maintain stability, positioning Germany as a hub for sustainable finance, and establishing the government as a leader in this field."
Denmark,"The tax is paid twice per year. It depends on the fuel economy, is different for diesel and gasoline vehicles and depends on weight. Owners of EVs also pay the tax.
For more information, see: https://www.iea.org/policies/3013-green-owner-tax?country=Denmark&qs=den IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The policy involves a biannual tax based on vehicle fuel economy, differing for diesel and gasoline vehicles, and also considering the vehicle's weight. Electric vehicle (EV) owners are also subject to this tax. For further details, you can refer to the provided link."
Australia,"""Current standard: Australian Design Rule 80/03 - Emission Control for Heavy Vehicles 2006 Amendment 2, 9 January 2013 (equivalent to Euro V, with acceptance of selected US and Japanese standards)
Future standards: The long term policy is to fully harmonize Australian regulations with UN ECE standards
Applicability: New vehicles including light omnibuses, heavy omnibuses, medium goods vehicles and heavy goods vehicles, with a GVM > 3.5 tonnes"" (http://transportpolicy.net/index.php?title=Australia:_Heavy-duty:_Emissions) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The current standard for emissions control in heavy vehicles in Australia is the Australian Design Rule 80/03, which aligns with Euro V standards and accepts certain US and Japanese standards. The long-term goal is to fully harmonize Australian regulations with UN ECE standards. This policy applies to new vehicles, including light and heavy omnibuses, as well as medium and heavy goods vehicles with a Gross Vehicle Mass (GVM) greater than 3.5 tonnes."
Trinidad and Tobago,Legislative: miscelaneous taxes act includes a Green Fund Levy,"The Miscellaneous Taxes Act includes a provision for a Green Fund Levy, which is a tax aimed at supporting environmental initiatives and sustainability efforts."
Bhutan,This Water Regulation of Bhutan 2014 is enacted for the effective enforcement of the objectives and purposes of the Water Act of Bhutan 2011. It designates competent authorities and provides details for the preparation of the National Integrated Water Resources Management Plan,The Water Regulation of Bhutan 2014 was established to effectively implement the objectives of the Water Act of Bhutan 2011. It outlines the roles of competent authorities and includes provisions for developing the National Integrated Water Resources Management Plan.
European Union,(EU) No 525/2013 repealing Decision No 280/2004/EC,"Regulation (EU) No 525/2013 repeals Decision No 280/2004/EC, establishing a framework for the monitoring and reporting of greenhouse gas emissions and other relevant information related to climate change. The regulation aims to enhance the consistency and transparency of emissions data across EU member states, ensuring effective climate change mitigation efforts. It outlines the responsibilities of member states in reporting their emissions and establishes a mechanism for the European Commission to assess and review this information regularly. The repeal of the previous"
Italy,"The Italian government increased the Fund for Development and Cohesion (FSC 2021-2027) by EUR 500 million in August 2022, increasing the entire fund to EUR 2 billion. Through electrification, the substitution of renewable hydrogen for fossil fuels, and lower energy use, this will support investments that contribute to a reduction in direct GHG emissions. 80% of these projects are in Southern Italy, and 20% are in Central and Northern Italy.","In August 2022, the Italian government boosted the Fund for Development and Cohesion (FSC 2021-2027) by EUR 500 million, raising the total fund to EUR 2 billion. This funding aims to support investments focused on reducing direct greenhouse gas (GHG) emissions through electrification, the use of renewable hydrogen, and energy efficiency. Approximately 80% of the projects will be located in Southern Italy, while 20% will be in Central and Northern Italy."
France,This law specifies the Grenelle I objectives in order to facilitate their implementation.,The policy outlines the objectives of Grenelle I to enhance their implementation.
Andorra,"Andorras NDC does not set a stronger commitment by 2030 but proposes a net-zero emissions by 2050. This NDC brings back the previous commitment to reduce GHG emissions by 37% by 2030 relative to the BAU scenario project considering 2005 emissions for the energy sector and 2000 for the AFOLU (530,55 Gg CO2e). The goal is to reach 193,73 GgCO2e. The implementation period is set to be between 2021 and 2030 and covers all GHG and F-gases.
In the electricity sector, Andorra aims to increase national production of energy to 33% (50% by 2050), being more than 75% (85% by 2050) from renewable sources. In the transport sector the country aims to reduce 50% GHG emissions, setting a binding legislation to promote electric motorized mobility or from a source low in GHG emissions. Lastly, in the building sector, the country suggests regulations enforcing that new buildings have neutral energy consumption.  
Andorra has created a national voluntary market to help the reduction of GHG.
 ",Error generating summary
United States of America,Established the Environmental Protection Agency (EPA),"The policy established the Environmental Protection Agency (EPA), a federal agency responsible for regulating and enforcing environmental laws to protect human health and the environment. The EPA's primary roles include monitoring pollution levels, setting and enforcing standards for air and water quality, managing hazardous waste, and promoting environmental research and education."
Republic of Korea,"Legislative. Revised several times, see IEA source for details.","The policy is legislative in nature and has undergone several revisions. For more detailed information, refer to the IEA source."
China,Plan to raise the number of newly constructed green buildings in urban areas to 50% by 2020,The policy aims to increase the proportion of newly constructed green buildings in urban areas to 50% by the year 2020.
Thailand,"This plan, still in its consultation phase, aims to consolidate Thailand's energy policy and foster the development of renewables.","The policy plan, currently in the consultation phase, seeks to unify Thailand's energy policy and promote the growth of renewable energy sources."
United States of America,Renewables,"The ""Renewables"" policy focuses on promoting the use of renewable energy sources, such as solar, wind, hydro, and biomass, to reduce reliance on fossil fuels and decrease greenhouse gas emissions. It aims to encourage investment in renewable energy technologies, enhance energy efficiency, and support the development of infrastructure that facilitates the integration of renewable energy into the existing energy grid. The policy may include incentives for businesses and consumers to adopt renewable energy solutions, as well as regulations to ensure sustainable energy practices. Overall, the"
